,First_Name,Last_Name,DD,MM,YYYY,label,DateTime,Risk_level,Country_of_residence,Product_name
0,asdsad,fdgdfgdfg,7,12,1965,New Customer,2021-06-18 19:43:05.197145,High,North Korea,P8
1,SAED,aaaaaa,7,12,1965,New Customer,2021-06-18 19:43:05.197145,Low,North Korea,P9
2,SAED,ELHOORIE,7,12,1965,Suspicious,2021-06-18 19:43:05.197145,Low,North Korea,P10
3,SAJID,MIR,18,9,1978,Suspicious,2021-06-18 19:43:05.197145,High,Pakistan,P11
4,ABD,AWDA,22,12,1950,Suspicious,2021-06-18 19:43:05.197145,Medium,Syria,P12
5,DANIEL,ANDREAS,20,3,1978,Suspicious,2021-06-18 19:43:05.197145,Low,United States,P13
6,HUSAM,ABDALRAUF,13,8,1958,Suspicious,2021-06-18 19:43:05.197145,Medium,Egypt,P14
7,JABER,ELBANEH,6,6,1966,Suspicious,2021-06-18 19:43:05.197145,Low,Yemen,P15
8,IBRAHIM,SALIH,14,10,1966,Suspicious,2021-06-18 19:43:05.197145,Low,Russia,P16
9,Nicolea,Hanse,28,1,1988,Suspicious,2021-06-18 19:43:05.197145,Low,Thailand,Securities
10,Donica,Rishworth,10,7,1992,False Positive,2021-06-18 19:43:05.197145,Medium,Portugal,Forex
11,Hyacinthe,Goodding,30,1,2005,False Positive,2021-06-18 19:43:05.197145,High,China,Freit
12,Kira,Leguay,25,2,2008,Suspicious,2021-06-18 19:43:05.197145,Medium,Namibia,P13
13,Niels,Santi,12,4,1975,False Positive,2021-06-18 19:43:05.197145,High,Greece,P17
14,Delphine,Asbrey,24,3,2000,False Positive,2021-06-18 19:43:05.197145,High,Poland,P4
15,Lowe,Tebboth,16,9,1977,False Positive,2021-06-18 19:43:05.197145,High,China,P5
16,Romy,Hissie,28,11,1986,False Positive,2021-06-18 19:43:05.197145,Low,Ukraine,P6
17,Bat,Gumey,6,12,1976,False Positive,2021-06-18 19:43:05.197145,High,Czech Republic,P7
18,Donavon,Filippo,14,5,2015,False Positive,2021-06-18 19:43:05.197145,Low,China,Forex
19,Cordie,Burdon,1,12,1975,False Positive,2021-06-18 19:43:05.197145,High,Bangladesh,Freit
20,Roger,Tomley,23,8,1977,False Positive,2021-06-18 19:43:05.197145,Medium,Brazil,Securities
21,Nani,Issard,13,11,1975,False Positive,2021-06-18 19:43:05.197145,High,Central African Republic,P17
22,Abeu,Aspenlon,27,4,1998,False Positive,2021-06-18 19:43:05.197145,Low,China,P4
23,Hayyim,Bockings,19,10,2010,False Positive,2021-06-18 19:43:05.197145,High,Ukraine,P5
24,Elijah,Girod,29,5,1988,False Positive,2021-06-18 19:43:05.197145,Medium,China,P6
25,Pearce,Hinsche,18,11,2004,False Positive,2021-06-18 19:43:05.197145,Low,Philippines,P7
26,Karin,Doni,21,1,2001,False Positive,2021-06-18 19:43:05.197145,High,Russia,Forex
27,Donall,Murdy,8,2,2006,False Positive,2021-06-18 19:43:05.197145,Low,France,Freit
28,Rodrique,Cathery,21,7,1975,False Positive,2021-06-18 19:43:05.197145,Low,Russia,Securities
29,Jenine,Hansed,3,8,2010,False Positive,2021-06-18 19:43:05.197145,High,China,Forex
30,Grace,Robinet,10,4,2004,False Positive,2021-06-18 19:43:05.197145,High,France,Freit
31,Llewellyn,Collingwood,31,5,1979,False Positive,2021-06-18 19:43:05.197145,High,Indonesia,Securities
32,Keely,Covil,4,9,1978,False Positive,2021-06-18 19:43:05.197145,Medium,Russia,Forex
33,Elisa,Arnecke,16,8,1977,False Positive,2021-06-18 19:43:05.197145,Low,Thailand,Freit
